vraag	antwoord	V1	V2
1	nee	49	29
	gedeeltelijk	0	0
	ja	0	0
2A1	JK	2	0
	JP	44	28
	JC	1	0
	JKP	1	0
	JKPC	1	0
	J_x	0	1
2A2	G_QRMKF	49	29
2A3	1	26	7
	2	11	6
	3	5	5
	4	5	9
	5	2	2
2B1	KJ	1	0
	KA	0	1
	KL	47	26
	KJL	0	1
	KJAL	1	0
	K_x	0	1
2B2	B_OQ	49	29
2B3	1	9	11
	2	9	7
	3	10	4
	4	18	7
	5	3	0
2mooi	F1	8	13
	F2	37	10
	maaktnietuit	4	7
2inter	F1	4	5
	F2	30	7
	maaktnietuit	15	17
2over	F1	20	20
	F2	25	4
	maaktnietuit	4	5
3A1	HZ_AF	42	20
	HZ_SD	3	6
	HZ_KL	0	1
	HZ_SX	0	1
	HZ_SDSX	3	0
	HZ_SDKL	1	0
	HZ_AFSDKL	0	1
3A2	SA_2	1	1
	SA_3	1	0
	SA_4	0	0
	SA_5	41	28
	SA_6	0	0
	SA_8	1	0
	SA_11	1	0
	SA_20	1	0
	SA_21	3	0
	SA_22	1	0
3A3	1	2	1
	2	8	4
	3	4	7
	4	23	14
	5	12	3
3B1	JM_HD	2	2
	JM_EP	2	1
	JM_EN	3	3
	JM_PQ	38	22
	JM_HDPQ	1	1
	JM_HDEPPQ	3	0
3B2	AJ_2	0	1
	AJ_5	0	8
	AJ_6	1	0
	AJ_7	43	20
	AJ_8	1	0
	AJ_18	4	0
3B3	1	3	0
	2	9	3
	3	5	7
	4	27	15
	5	5	4
3mooi	F1	28	6
	F2	15	20
	maaktnietuit	6	3
3inter	F1	19	7
	F2	19	15
	maaktnietuit	11	7
3over	F1	16	4
	F2	32	19
	maaktnietuit	1	6
4A1	UT_NF	13	8
	UT_XX	7	1
	UT_EV	2	18
	UT_GG	1	1
	UT_EVGG	0	1
	UT_XXEVGG	25	0
	UT_NFXX	1	0
4A2	1	5	3
	2	13	4
	3	4	3
	4	15	12
	5	12	7
4B1	MX_QT	1	1
	MX_IV	37	8
	MX_DR	1	2
	MX_IB	9	7
	MX_x	1	0
	MX_QTIVDR	0	11
4B2	1	10	4
	2	11	5
	3	3	3
	4	17	11
	5	8	7
4mooi	F1	30	9
	F2	13	13
	maaktnietuit	6	7
4inter	F1	23	4
	F2	12	14
	maaktnietuit	13	11
4over	F1	36	15
	F2	9	6
	maaktnietuit	4	8
